,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
1412,2431197,107400707,AR,2019-04-23,2021-10-04 01:56:28,InvesTech Holdings Limited,WARNING,0.1886101892253257,23.764883842391036,4203,2526,1677,445,51155
1415,2431321,107405088,AR,2019-04-23,2021-10-06 07:57:42,Xiezhong International Holdings Limited,SUCCESS,0.2413666953985895,21.481635890474465,3428,2083,1345,279,44831
1416,2433683,106118435,AR,2019-03-31,2021-10-06 01:22:39,Shandong Chenming Paper Holdings Limited,SUCCESS,0.9022099513326921,60.44806673929037,7243,4648,2595,202,88403
1418,2433823,107889153,AR,2019-04-29,2021-10-05 01:49:46,"Shanghai Dasheng Agriculture Finance Technology Co., Ltd.",WARNING,0.5354562811170661,36.41102711596049,5217,2916,2301,214,62190
1426,2434343,107480160,AR,2019-04-24,2021-10-07 01:40:25,"Zhejiang New Century Hotel Management Co., Ltd.",SUCCESS,0.3657481798925309,36.57481798925309,4416,3065,1351,220,55389
1427,2434431,107704914,AR,2019-04-26,2021-10-07 01:41:07,Denox Environmental & Technology Holdings Limited,SUCCESS,0.27081231933306954,18.956862353314868,3606,2152,1454,183,42997
1428,2434914,107596843,AR,2019-04-25,2021-10-04 01:56:23,Tian Ge Interactive Holdings Limited,SUCCESS,1.5012105598305225,75.06052799152613,6366,3980,2386,137,73081
1429,2435142,107723652,AR,2019-04-26,2021-10-04 02:00:00,Wisdom Sports Group,SUCCESS,0.755223311109791,38.51638886659934,4786,3005,1781,177,57998
1430,2436891,107876651,AR,2019-04-29,2021-10-04 01:57:57,Nature Home Holding Company Limited,SUCCESS,0.24576276912260378,22.61017475927955,3690,2238,1452,236,46268
1433,2437040,108012936,AR,2019-04-29,2021-10-04 01:57:31,Ruifeng Power Group Company Limited,SUCCESS,0.5533202714718702,21.02617031593107,3185,1952,1233,116,39451
1434,2438254,107876963,AR,2019-04-29,2021-10-04 01:57:34,ArtGo Holdings Limited,SUCCESS,0.28731855706818143,34.47822684818177,4371,2692,1679,263,50745
1436,2440742,108312315,AR,2019-05-03,2021-10-04 01:56:22,Tian Ge Interactive Holdings Limited,SUCCESS,1.5012105598305232,75.06052799152616,6366,3980,2386,137,73081
1437,2443067,106054645,AR,2019-03-29,2021-10-05 01:50:32,Great Water Holdings Limited,SUCCESS,0.3111815607783811,36.09706105029221,4075,2576,1499,261,48598
1438,2443171,107591377,AR,2019-04-25,2021-10-07 01:41:34,Jiyi Holdings Limited,SUCCESS,0.4503093595442209,33.32289260627235,3042,1863,1179,199,38243
1439,2443294,107723629,AR,2019-04-26,2021-10-04 02:01:33,China Weaving Materials Holdings Limited,SUCCESS,0.26168634155835807,22.766711715577152,2879,1674,1205,217,35612
1440,2443679,107733489,AR,2019-04-26,2021-10-07 01:41:49,Chaowei Power Holdings Limited,WARNING,0.308506923516471,46.276038527470654,4372,2864,1508,313,52878
1441,2443701,107726469,AR,2019-04-26,2021-10-06 07:57:24,Shanghai Electric Group Company Limited,WARNING,0.29347469641206525,46.95595142593044,5781,3609,2172,375,70953
1449,2444185,107907008,AR,2019-04-29,2021-10-05 08:45:06,Zhengzhou Coal Mining Machinery Group Company Limited,WARNING,0.45045306759094306,59.91025798959543,6191,3986,2205,330,71356
1450,2445521,106643049,AR,2019-04-08,2021-10-07 06:15:03,Fufeng Group Limited,SUCCESS,2.040593301052494,42.852459322102376,5203,3308,1895,139,58864
1452,2445782,107894720,AR,2019-04-29,2021-10-06 01:22:56,NetDragon Websoft Holdings Limited,WARNING,0.5746971341754297,58.61910768589382,6232,4192,2040,193,71859
1453,2448083,106118455,AR,2019-03-31,2021-10-06 01:22:39,Shandong Chenming Paper Holdings Limited,SUCCESS,0.7392182260392147,59.87667630917639,7152,4606,2546,339,88827
1455,2448126,108009928,AR,2019-04-30,2021-10-07 01:41:55,China Harmony Auto Holding Limited,SUCCESS,0.29191201365338804,32.69414552917946,4537,2917,1620,282,53417
