,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent_x,sum_sent_x,hit_count_x,positive_hits_x,negative_hits_x,section_count_x,word_count_x,avg_sent_y,sum_sent_y,hit_count_y,positive_hits_y,negative_hits_y,section_count_y,word_count_y
900,2457783,136201201,AR,2020-04-27,2021-07-26 06:43:42,Zhong An Group Limited,SUCCESS,0.3595776271075782,39.19396135472602,4639,2986,1653,264,62549,,,,,,,
902,2456157,136078397,AR,2020-04-24,2021-07-26 06:49:30,"Xinhua Winshare Publishing and Media Co., Ltd.",WARNING,0.6773713948676175,63.67291111755605,5575,3877,1698,364,77333,,,,,,,
904,2456406,136076146,AR,2020-04-24,2021-07-26 06:46:59,Jiangsu Innovative Ecological New Materials Limited,WARNING,0.18887460652166618,19.454084471731615,2861,1791,1070,247,37513,,,,,,,
906,2457274,136209259,AR,2020-04-27,2021-07-26 06:48:31,"Yincheng International Holding Co., Ltd.",WARNING,0.33051010033384715,53.542636254083234,5446,3663,1783,694,71974,,,,,,,
908,2458174,136207800,AR,2020-04-27,2021-07-26 06:40:17,Wison Engineering Services Co. Ltd.,WARNING,0.5744636584735302,33.89335584993828,4581,3013,1568,209,58089,,,,,,,
909,2458758,136203968,AR,2020-04-27,2021-07-26 06:40:50,"Guangdong Kanghua Healthcare Co., Ltd.",SUCCESS,0.35871529817094006,46.99170406039315,6002,3877,2125,258,66536,,,,,,,
910,2463289,136442165,AR,2020-04-29,2021-07-26 06:48:22,"Jinshang Bank Co., Ltd.",SUCCESS,0.8686548242374231,79.0475890056055,6660,4340,2320,242,84438,,,,,,,
911,2466816,136421257,AR,2020-04-29,2021-07-26 06:40:18,Chaowei Power Holdings Limited,WARNING,0.8852283591989044,36.29436272715508,4259,2733,1526,180,49501,,,,,,,
913,2459480,136203712,AR,2020-04-27,2021-07-26 06:48:33,"Yincheng International Holding Co., Ltd.",WARNING,0.3421799700742714,53.72225530166061,5462,3682,1780,694,72460,,,,,,,
915,2459555,136209860,AR,2020-04-27,2021-07-26 06:49:20,"COSCO SHIPPING Development Co., Ltd.",SUCCESS,0.34550615756716874,39.04219580509007,4108,2708,1400,264,55713,,,,,,,
917,2467790,134391582,AR,2020-03-31,2021-07-26 06:48:40,Sinotrans Limited,SUCCESS,0.7270903431451748,117.06154524637316,9437,6342,3095,428,114745,,,,,,,
921,2468430,134390867,AR,2020-03-31,2021-07-26 06:38:33,China Aluminum International Engineering Corporation Limited,SUCCESS,1.6074978617989684,73.94490164275254,7760,5162,2598,179,90954,,,,,,,
923,2471133,134390356,AR,2020-03-31,2021-07-26 06:41:56,China Information Technology Development Limited,SUCCESS,0.013444718905828046,0.7797936965380267,2622,1596,1026,158,31735,,,,,,,
955,2473964,134711656,AR,2020-04-06,2021-07-26 06:38:50,ANTA Sports Products Limited,WARNING,0.600538974698309,39.035033355390084,4959,3445,1514,291,54616,,,,,,,
956,2474757,134769538,AR,2020-04-07,2021-07-26 06:42:49,Times China Holdings Limited,WARNING,0.7627464818413668,64.07070447467481,6026,4043,1983,223,77671,,,,,,,
957,2476475,137014857,AR,2020-05-08,2021-07-26 06:34:15,"Lianhua Supermarket Holdings Co., Ltd.",SUCCESS,0.5245564512863857,81.30624994938978,6775,4829,1946,383,84148,,,,,,,
959,2525198,105192065,AR,2019-03-10,2021-07-26 06:42:04,"SINOPEC Engineering (Group) Co., Ltd.",SUCCESS,1.5127074832924572,65.04642178157566,5330,3576,1754,207,64701,,,,,,,
961,2524713,105222399,AR,2019-03-12,2021-07-26 06:37:44,Times China Holdings Limited,SUCCESS,0.4013268158324706,7.625209500816942,831,563,268,32,12582,,,,,,,
962,2530007,105699924,AR,2019-03-22,2021-07-26 06:39:46,"Hanhua Financial Holding Co., Ltd.",SUCCESS,0.37402174654257675,58.72141420718455,7611,4748,2863,398,89301,,,,,,,
963,2534065,107835005,AR,2019-03-11,2021-07-26 06:41:10,"Ping An Insurance (Group) Company of China, Ltd.",WARNING,0.3667743219787143,57.95034287263686,9615,6111,3504,396,107203,,,,,,,
965,2535455,118614792,AR,2019-07-05,2021-07-26 06:37:17,"Hua Xia Bank Co., Ltd.",SUCCESS,2.067036171449808,45.47479577189578,6394,4164,2230,98,70501,,,,,,,
981,2539168,107834791,AR,2019-03-21,2021-07-26 06:33:22,China Petroleum & Chemical Corporation,WARNING,0.29906871248290684,49.64540627216253,7267,4517,2750,478,97509,,,,,,,
983,2549940,79374066,AR,2018-06-02,2021-07-26 06:31:46,"Huawei Investment & Holding Co., Ltd.",WARNING,1.8594299184144565,113.42522502328184,6214,4997,1217,254,55174,,,,,,,
991,2649990,101448896,AR,2018-12-17,2021-07-26 06:49:01,China Maple Leaf Educational Systems Limited,WARNING,0.40116781116372235,42.92495579451829,4021,2736,1285,273,55201,,,,,,,
1007,2656578,106062719,AR,2018-12-31,2021-07-26 06:49:12,Jiangxi Bank Co. Ltd.,SUCCESS,0.32701091741284605,42.18440834625714,6371,4113,2258,346,81752,,,,,,,
1008,2657948,106832991,AR,2018-12-31,2021-07-26 06:47:49,Jiangxi Bank Co. Ltd.,SUCCESS,0.3262752641771929,42.08950907885788,6355,4103,2252,346,81429,,,,,,,
1009,2661699,73853944,AR,2020-10-13,2021-07-26 06:47:19,Orient Securities Company Ltd.,WARNING,0.6723554847423562,86.06150204702159,8762,5800,2962,263,113157,,,,,,,
1010,2665335,105964864,AR,2019-03-28,2021-07-26 06:45:34,"China Huarong Asset Management Co., Ltd.",SUCCESS,2.129817575064206,61.764709676861976,8202,4820,3382,213,89838,,,,,,,
1011,2681070,119123588,AR,2019-07-16,2021-07-26 06:36:11,Sino Harbour Holdings Group Limited,SUCCESS,0.21375723808004293,34.628672568966955,4082,2547,1535,396,52277,,,,,,,
1012,2768428,134391546,AR,2019-12-31,2021-07-26 06:41:47,"Holly Futures Co., Ltd.",SUCCESS,1.5260150865129756,76.30075432564878,6682,4728,1954,184,79072,,,,,,,
1013,2770730,135205604,AR,2019-12-31,2021-07-26 06:30:35,Metallurgical Corporation of China Ltd.,SUCCESS,1.197484661544283,71.84907969265697,8546,5665,2881,151,108366,,,,,,,
1014,2772815,76668203,AR,2018-04-09,2021-07-26 06:43:51,"Hanhua Financial Holding Co., Ltd.",SUCCESS,0.4012185508060473,65.39862378138571,7191,4594,2597,411,86081,,,,,,,
1015,2773023,76684301,AR,2018-04-09,2021-07-26 06:37:34,Yantai North Andre Juice Company Limited,SUCCESS,0.6042576096672655,31.421395702697804,3600,2229,1371,140,44847,,,,,,,
1017,2774234,117758975,AR,2018-04-11,2021-07-26 06:46:04,"Charmacy Pharmaceutical Co., Ltd.",SUCCESS,0.3057878939926903,25.991970989378675,3739,2498,1241,272,54724,,,,,,,
1019,2774254,76786891,AR,2018-04-11,2021-07-26 06:43:41,"A-Living Services Co., Ltd.",SUCCESS,0.570024642957963,57.57248893875426,3637,2779,858,230,42361,,,,,,,
1020,2775983,136205983,AR,2019-12-31,2021-07-26 06:41:10,Longfor Group Holdings Limited,WARNING,0.4196444440050114,40.285866624481095,6515,4397,2118,399,79605,,,,,,,
1022,2776630,135965027,AR,2019-12-31,2021-07-26 06:33:53,Redco Properties Group Limited,WARNING,0.22176955638491863,43.023293938674215,5568,3764,1804,552,67340,,,,,,,
1028,2776644,136209865,AR,2019-12-31,2021-07-26 06:35:04,"Luzhou Bank Co., Ltd.",SUCCESS,0.37685611907421346,43.33845369353455,5617,3541,2076,278,73608,,,,,,,
1030,2777195,134158848,AR,2019-12-31,2021-07-26 06:41:19,Aluminum Corporation of China Limited,SUCCESS,0.7071528441602704,80.61542423427082,6619,4293,2326,260,86219,,,,,,,
1032,2777210,134221005,AR,2019-12-31,2021-07-26 06:32:54,"Zhongyuan Bank Co., Ltd.",SUCCESS,1.566308585927774,75.18281212453316,7234,4830,2404,136,88426,,,,,,,
1033,2777385,138148030,AR,2019-12-31,2021-07-26 06:32:24,"Foshan Electrical and Lighting Co.,Ltd",SUCCESS,0.3749426941659735,20.246905484962568,5353,3432,1921,270,60766,,,,,,,
1035,2780278,76960133,AR,2018-04-16,2021-07-26 06:35:45,Times China Holdings Limited,WARNING,0.5877019321498208,48.191558436285305,4992,3304,1688,246,64451,,,,,,,
1036,2780778,77027321,AR,2018-04-17,2021-07-26 06:37:09,Parkson Retail Group Limited,WARNING,1.0999659893839413,35.19891166028612,4332,2771,1561,105,53282,,,,,,,
1052,2783310,117758834,AR,2018-04-19,2021-07-26 06:41:11,Besunyen Holdings Company Limited,WARNING,0.48101940960681316,36.5574751301178,4364,2942,1422,241,50729,,,,,,,
1054,2783674,77144632,AR,2018-04-19,2021-07-26 06:41:56,Dongguang Chemical Limited,SUCCESS,0.2767504285919623,26.291290716236418,3043,1976,1067,187,39656,,,,,,,
1056,2783679,77151048,AR,2018-04-19,2021-07-26 06:41:00,Tsaker Chemical Group Limited,WARNING,0.18161875425339352,27.787669400769207,4318,2710,1608,489,53748,,,,,,,
1064,2783910,77147808,AR,2018-04-19,2021-07-26 06:40:39,Aluminum Corporation of China Limited,SUCCESS,0.5573592833625327,63.53895830332873,5898,3873,2025,264,78655,,,,,,,
1066,2784042,77173533,AR,2018-04-19,2021-07-26 06:36:40,"Hua Xia Bank Co., Ltd.",WARNING,0.3966978043803886,48.39713213440741,6000,3968,2032,272,67622,,,,,,,
