,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
90,5244667,159081834,AR,2021-06-26,2021-07-02 06:22:08,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,0.21890536038173805,12.039794820995592,2544,1589,955,202,32656
94,5244738,155241201,AR,2021-06-26,2021-07-02 06:29:06,Banco Bradesco S.A.,WARNING,0.03634002659568251,1.3082409574445704,2050,1142,908,111,26574
95,5245946,155355595,AR,2021-06-26,2021-07-02 10:03:50,Banco ABC Brasil S.A.,SUCCESS,-0.051331561694015246,-1.7966046592905336,1055,574,481,70,14427
99,5247602,159081838,AR,2021-06-26,2021-07-02 10:03:02,Banco Nacional de Desenvolvimento Econômico e Social,SUCCESS,0.2712085893971523,9.221092039503178,2597,1622,975,139,33567
100,5247781,2776760,AR,2021-06-26,2021-07-02 10:02:58,Vale S.A.,WARNING,0.29995268922321133,28.49550547620508,7595,4367,3228,307,97528
101,5247849,159081840,AR,2021-06-26,2021-07-02 10:02:58,Banco Nacional de Desenvolvimento Econômico e Social,SUCCESS,0.05359426148417958,1.9829876749146444,1085,585,500,85,13529
102,5250313,153874663,AR,2021-03-03,2021-07-01 06:56:07,Banco BOCOM BBM S.A.,WARNING,0.06551998260928664,5.372638573961504,1102,645,457,85,13313
103,5250611,84163603,AR,2021-06-26,2021-07-03 10:56:35,Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG,WARNING,0.6569713753419487,9.197599254787281,792,532,260,28,9993
104,5251755,154421339,AR,2021-06-26,2021-07-03 10:56:09,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,0.047898055620311276,3.2091697265608556,2783,1581,1202,186,37271
105,5255277,152487757,AR,2021-06-26,2021-07-03 10:53:10,Banco Santander (Brasil) S.A.,WARNING,0.06589762458549071,11.07080093036244,3070,1912,1158,259,41402
106,5258275,2781875,AR,2021-06-26,2021-07-03 10:50:33,Vale S.A.,WARNING,0.23570862989655664,21.68519395048321,6754,3853,2901,287,88678
107,5259135,152412209,AR,2021-06-26,2021-07-03 10:49:47,Itaú Unibanco Holding S.A.,WARNING,0.1340271076101455,14.474927621895713,4645,2879,1766,343,53601
108,5259136,152938631,AR,2021-06-26,2021-07-03 10:49:47,Banco do Brasil S.A.,WARNING,0.17800420076202866,14.240336060962294,3398,2035,1363,271,43074
109,5259333,153932899,AR,2021-06-26,2021-07-03 10:49:42,Banco Modal S.A.,WARNING,0.031586409265492575,3.7903691118591087,2257,1290,967,226,27455
113,5263509,152808669,AR,2021-06-26,2021-06-27 15:15:28,Banco BTG Pactual S.A.,SUCCESS,0.17068569340465284,6.144684962567502,1266,708,558,129,16092
114,5263881,154141881,AR,2021-06-26,2021-06-26 21:34:42,Banco de Desenvolvimento de Minas Gerais S.A. - BDMG,WARNING,0.909960556045136,10.919526672541632,2389,1435,954,41,28518
115,5263917,158038982,AR,2021-06-26,2021-06-27 00:11:18,Petróleo Brasileiro S.A. - Petrobras,WARNING,-0.032714359059639285,-8.27673284208874,1375,652,723,547,270117
116,5264152,157685703,AR,2021-06-26,2021-06-26 15:25:22,ICBC do Brasil Banco Múltiplo S.A.,SUCCESS,-0.3430967390158838,-3.430967390158838,764,412,352,10,9889
117,5266926,3223007,AR,2021-06-27,2021-06-27 07:54:07,Vale S.A.,WARNING,1.0625325459066708,59.50182257077357,5944,3454,2490,124,79996
118,5271311,3260734,AR,2021-06-28,2021-07-03 10:46:16,Gerdau S.A.,WARNING,0.7051246354258116,22.56398833362597,1786,1353,433,197,19621
119,5271699,3260735,AR,2021-06-28,2021-07-03 10:46:12,Gerdau S.A.,SUCCESS,0.9402218464184803,24.44576800688049,1763,1308,455,59,19109
120,5273428,3260737,AR,2021-06-28,2021-07-03 10:45:50,Gerdau S.A.,WARNING,1.4760416397575538,17.712499677090644,1603,1185,418,38,17717
121,5274592,3260736,AR,2021-06-28,2021-07-03 10:45:28,Gerdau S.A.,SUCCESS,0.6221814875656593,17.42108165183846,1686,1168,518,58,18125
122,5276020,3218926,AR,2021-06-28,2021-07-03 10:45:02,Vale S.A.,SUCCESS,1.3429443428753083,30.88771988613209,7377,4353,3024,39,94457
123,5278360,3223008,AR,2021-06-28,2021-07-03 10:43:38,Vale S.A.,WARNING,0.7410295102613346,37.79250502332806,6899,4005,2894,238,93991
124,5280457,3262308,AR,2021-06-28,2021-07-03 10:43:03,MMX Mineração e Metálicos S.A.,SUCCESS,0.131082876375646,5.636563684152779,2613,1411,1202,103,35001
125,5284925,132327629,AR,2020-02-11,2021-07-01 05:53:29,Banco Central do Brasil,WARNING,0.14612747645479052,5.845099058191621,1757,1027,730,44,23623
126,5284960,12318932,AR,2016-12-31,2021-07-01 05:53:29,Banco Central do Brasil,WARNING,0.16957094708595677,7.630692618868054,1728,1043,685,129,23747
127,5284971,12318932,AR,2016-12-31,2021-07-01 05:53:29,Banco Central do Brasil,WARNING,0.16957094708595674,7.6306926188680535,1728,1043,685,129,23747
128,5284993,104799856,AR,2018-12-31,2021-07-01 05:53:29,Banco Central do Brasil,WARNING,0.08438893454117717,3.7975020543529725,1760,1023,737,133,23699
129,5303034,153932899,AR,2021-03-25,2021-07-03 09:17:29,Banco Modal S.A.,WARNING,0.031139980694064005,3.736797683287681,2257,1290,967,226,27455
133,5304064,3261850,AR,2021-07-05,2021-07-06 04:56:17,MMX Mineração e Metálicos S.A.,SUCCESS,0.17163970061205408,5.664110120197785,2821,1543,1278,72,38215
141,5308137,153542267,AR,2020-12-31,2021-07-05 05:39:38,Banestes S.A - Banco do Estado do Espírito Santo,WARNING,0.12299680211840343,7.994792137696223,2185,1302,883,135,27831
149,5332651,155355595,AR,2021-03-31,2021-07-13 02:36:27,Banco ABC Brasil S.A.,SUCCESS,-0.05133156169401522,-1.7966046592905327,1055,574,481,69,14427
153,5332652,155355595,AR,2021-03-31,2021-07-13 02:36:42,Banco ABC Brasil S.A.,SUCCESS,-0.05133156169401523,-1.7966046592905331,1055,574,481,69,14427
157,5367656,155355595,AR,2021-03-31,2021-07-22 12:43:14,Banco ABC Brasil S.A.,SUCCESS,-0.03436103999894565,-1.4431636799557173,1089,600,489,72,14923
161,5370387,163480181,AR,2021-07-23,2021-07-23 06:33:19,Raízen Energia S.A.,SUCCESS,-0.001546582374182113,-0.0726893715865593,2758,1549,1209,229,36656
162,5377843,163497173,AR,2020-12-31,2021-07-26 04:37:11,Cielo S.A.,WARNING,0.9903841201065222,38.624980684154366,3798,2691,1107,132,38589
